fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1506,30059,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1506,,false,,,,false,false,false,true,,,,,,,12345,1,,,1506,,,,,239.1.1.97,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1509,30062,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1509,,false,,,,false,false,false,true,,,,,,,12345,1,,,1509,,,,,239.1.1.98,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1508,30061,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1508,,false,,,,false,false,false,true,,,,,,,12345,1,,,1508,,,,,239.1.1.99,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1501,30054,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1501,,false,,,,false,false,false,true,,,,,,,12345,1,,,1501,,,,,239.1.1.100,false
SoAZ-PHX,NA,ps-data-1675,30040,Default_Network_Universal,Default_Network_Extension_Universal,ps-data-1675,,false,,,,false,false,false,true,,,,,,,12345,1,,,1675,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1503,30056,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1503,,false,,,,false,false,false,true,,,,,,,12345,1,,,1503,,,,,239.1.1.102,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1502,30055,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1502,,false,,,,false,false,false,true,,,,,,,12345,1,,,1502,,,,,239.1.1.103,false
SoAZ-PHX,NA,ps-data-1673,30038,Default_Network_Universal,Default_Network_Extension_Universal,ps-data-1673,,false,,,,false,false,false,true,,,,,,,12345,1,,,1673,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1505,30058,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1505,,false,,,,false,false,false,true,,,,,,,12345,1,,,1505,,,,,239.1.1.105,false
SoAZ-PHX,NA,ps-data-1674,30039,Default_Network_Universal,Default_Network_Extension_Universal,ps-data-1674,,false,,,,false,false,false,true,,,,,,,12345,1,,,1674,,,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1504,30057,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1504,,false,,,,false,false,false,true,,,,,,,12345,1,,,1504,,,,,239.1.1.107,false
SoAZ-PHX,NA,LD-1670-DMZ,30041,Default_Network_Universal,Default_Network_Extension_Universal,LD-1670-DMZ,,false,,,,false,false,false,true,,,,,,,12345,1,,,1670,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-dt-kiosk-FW-CONN,30089,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-kiosk-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,149,,,,,239.1.1.109,false
